id,name,latitude,longitude,feature_code,elevation
3901922,Cerro Uturunco,-22.27,-67.18,MT,6008
3901997,Cerro Uquilla,-20.85067,-68.19926,MT,5092
3902031,Cerro Umurata,-18.35575,-69.04937,MT,5717
3902103,Nevado Ulla Khaya,-15.00578,-69.05256,MT,5497
3902143,Cerro Ubina,-20.45731,-66.36717,MT,5147
3902212,Cerro Tunupa,-19.83467,-67.64786,MT,5321
3902248,Cerro Tunari,-17.3,-66.36667,MT,5023
3902418,Cerro Tres Cumbres,-22.78845,-67.6313,MT,5337
3902479,Cerro Towa,-20.4713,-68.40146,MT,5054
3902583,Cerro Torque,-22.11667,-67.55,MT,5241
